Gene	sgRNA	ATRT_common|beta	ATRT_common|z	ATRT_common|p-value	ATRT_common|fdr	ATRT_common|wald-p-value	ATRT_common|wald-fdr
KIN	4	-0.70759	-2.5386	0.0044998	0.069299	0.01113	0.19862
PDGFRA	4	-0.23923	-1.0119	0.086281	0.43593	0.31156	0.53199
C19orf44	4	0.19149	0.41658	0.76994	0.95324	0.67699	0.78278
CCDC91	4	0.56076	1.571	0.17246	0.59452	0.11619	0.47241
A3GALT2	4	0.75785	1.4105	0.023336	0.21473	0.15841	0.47241
MED4	4	-1.0027	-3.3011	0.00020929	0.0065147	0.000963	0.037638
NCOR1	4	-0.18259	-0.60388	0.11815	0.5	0.54592	0.68751
CD244	4	-0.20536	-1.2384	0.10444	0.47411	0.21555	0.48302
SNTG2	4	0.27563	1.197	0.96557	0.99501	0.23129	0.48853
SAMD3	4	0.31391	0.48756	0.83796	0.96745	0.62586	0.74406
PCDHGA8	4	0.16553	0.54901	0.69522	0.93001	0.583	0.71297
DPY19L2	4	0.15716	0.95429	0.67251	0.92344	0.33994	0.55015
ZBTB1	4	-0.22472	-1.0427	0.093501	0.45161	0.29709	0.52357
TMEM50B	4	0.14782	1.0741	0.64708	0.91644	0.28277	0.51444
CMYA5	4	0.22456	1.0064	0.86726	0.97267	0.31422	0.53385
OMG	4	0.39839	0.49524	0.56028	0.88857	0.62043	0.73991
ST6GALNAC1	4	0.16149	0.74339	0.68454	0.92617	0.45724	0.6251
TFCP2	4	-0.10583	-0.47523	0.18465	0.61108	0.63462	0.7513
RGS7	4	0.2579	1.1139	0.97923	0.99718	0.26532	0.50471
ZNF34	4	-0.00091802	-0.01005	0.31949	0.7478	0.99198	0.99509
FBXO33	4	0.19849	1.2437	0.78851	0.95664	0.2136	0.48265
FZD6	4	0.20212	0.99675	0.79897	0.95936	0.31889	0.53679
CCR1	4	0.11247	0.81178	0.55593	0.88736	0.41692	0.59886
FCRLB	4	0.35909	1.4921	0.6846	0.92617	0.13567	0.47241
OR8B4	4	0.11971	0.37862	0.57456	0.89301	0.70497	0.80243
MTAP	4	0.41209	1.6674	0.51648	0.87032	0.095425	0.47241
SCG5	4	0.29617	1.071	0.89729	0.98044	0.28416	0.51562
P2RY13	4	0.044222	0.16531	0.401	0.80881	0.8687	0.91717
SUPT5H	4	-1.227	-3.8431	0	0	0.00012149	0.010554
MUM1	4	0.17479	0.72277	0.72326	0.94092	0.46982	0.63314
HIST1H4D	4	0.60635	1.2029	0.11297	0.48993	0.22902	0.48666
PRIM2	4	-1.187	-3.4697	0	0	0.00052094	0.025622
TYW5	4	0.31753	0.53447	0.82587	0.96408	0.59301	0.72107
DHX40	4	0.17214	0.73877	0.71547	0.93935	0.46005	0.62687
CPT2	4	0.3675	0.55445	0.65796	0.91876	0.57927	0.71057
A2ML1	4	-0.2218	-1.1725	0.094757	0.45314	0.24098	0.49132
MORF4L1	4	-0.09555	-0.30075	0.19449	0.62293	0.76361	0.84373
CDC16	4	-1.4419	-3.8009	0	0	0.00014415	0.011673
OR9G4	4	0.28486	1.2666	0.93638	0.98983	0.20531	0.47976
CEP63	4	0.043958	0.14565	0.40064	0.80881	0.8842	0.92718
QKI	4	0.051275	0.31345	0.41613	0.81771	0.75394	0.83707
HYPK	4	-1.0907	-3.5958	5.2323e-05	0.0020243	0.00032335	0.019613
C21orf62	4	0.49389	1.6527	0.30039	0.73327	0.098402	0.47241
DNM1L	4	-0.27984	-1.0207	0.069067	0.39265	0.30739	0.52993
USP10	4	-0.13803	-0.63786	0.15404	0.56475	0.52356	0.67184
KIF20B	4	-0.22573	-1.1755	0.093135	0.45077	0.23979	0.4911
BBS4	4	0.39699	0.95044	0.56404	0.88878	0.34189	0.5514
SPICE1	4	-0.14855	-0.78624	0.14488	0.55189	0.43173	0.60794
GTSCR1	4	0.16637	0.79841	0.69773	0.93119	0.42463	0.60334
CHML	4	-0.23745	-1.5204	0.08717	0.43831	0.12841	0.47241
SUV420H1	4	0.34801	0.81116	0.72316	0.94092	0.41727	0.59901
WDSUB1	4	-0.14146	-0.87766	0.15069	0.55939	0.38013	0.57537
MIA3	4	0.12565	0.67677	0.59031	0.89761	0.49855	0.65445
ACBD6	4	-0.17653	-0.93442	0.12212	0.50761	0.35009	0.55634
SLC44A5	4	-0.32216	-1.7565	0.053684	0.34662	0.078999	0.47241
RBMS3	4	-0.041686	-0.22821	0.2591	0.69409	0.81949	0.88316
DENND2C	4	-0.19811	-0.97092	0.1081	0.47957	0.33159	0.5443
USP42	3	0.093939	0.56807	0.54604	0.88466	0.56999	0.70449
HFM1	4	-0.86049	-2.6603	0.0014127	0.030787	0.0078073	0.15707
OCIAD1	4	0.22998	0.61845	0.8852	0.9777	0.53628	0.68084
BRMS1L	4	0.15378	0.60291	0.66341	0.92	0.54657	0.68794
RGS13	4	0.039496	0.20697	0.3919	0.80494	0.83604	0.8959
RBMX	4	-1.1294	-3.4423	0	0	0.00057682	0.027734
TOPBP1	4	-1.1878	-3.5013	0	0	0.00046308	0.02405
ZC3H12C	4	0.11851	0.40505	0.57111	0.89066	0.68544	0.78856
DEFB103A	4	0.27418	0.9995	0.96908	0.99501	0.31755	0.53619
SMS	4	-0.26557	-1.5334	0.074665	0.40678	0.12518	0.47241
CAPZA3	4	0.32957	1.6571	0.78574	0.9562	0.097489	0.47241
OSTF1	4	0.24049	0.73957	0.91879	0.98598	0.45956	0.62644
ERRFI1	4	0.15003	0.76666	0.65383	0.91781	0.44328	0.61543
KIAA0586	4	0.37525	1.4221	0.63259	0.91255	0.15499	0.47241
HYKK	4	-0.57673	-2.7984	0.011354	0.13537	0.005135	0.1181
NBPF4	4	-0.4158	-1.9922	0.032597	0.26655	0.046355	0.47241
FAM178A	4	-0.65781	-2.3457	0.0066974	0.094256	0.018989	0.28331
TMBIM4	4	0.34824	1.4817	0.72253	0.94092	0.13842	0.47241
C11orf63	4	0.046419	0.093524	0.40514	0.81066	0.92549	0.95391
CCDC68	4	-0.1821	-0.91645	0.1183	0.5	0.35943	0.56252
SEMG1	4	0.27837	0.93369	0.95573	0.9931	0.35047	0.55651
SCGB2A2	4	-0.079694	-0.3783	0.21196	0.64394	0.70521	0.8025
PLTP	4	0.21958	1.3202	0.85271	0.9697	0.18675	0.47331
ZNF248	4	0.14571	1.0586	0.64253	0.91595	0.28978	0.51894
TRIM49D1	4	0.56088	1.6342	0.1723	0.59452	0.10222	0.47241
GZF1	4	0.45482	1.154	0.39666	0.80667	0.24852	0.49476
SYNDIG1	4	0.0025284	0.010526	0.32482	0.75148	0.9916	0.99493
C3orf79	4	0.55423	1.3871	0.18355	0.6103	0.16542	0.47241
UEVLD	4	0.19693	1.3843	0.78385	0.95593	0.16628	0.47241
KDELR2	4	0.14675	0.47629	0.64457	0.91644	0.63387	0.75077
ASB14	4	0.64035	0.76609	0.079584	0.41959	0.44362	0.61576
MPHOSPH6	4	-0.47207	-1.3003	0.022185	0.20825	0.19351	0.47617
RPS3	4	-1.341	-3.6068	0	0	0.00031002	0.019173
CTDP1	4	-0.57796	-1.8565	0.011354	0.13537	0.063388	0.47241
DNAJB9	4	0.3626	0.90501	0.67377	0.92374	0.36546	0.56588
STAT4	4	0.62975	1.1069	0.090257	0.4447	0.26832	0.50682
CEP41	4	-0.37498	-1.8434	0.040132	0.29683	0.065266	0.47241
SNRPA1	3	-0.53445	-1.2514	0.030243	0.25351	0.21078	0.48164
40422	4	-0.39605	-2.0281	0.035632	0.27785	0.042546	0.47241
CRTC1	4	0.037169	0.2961	0.38819	0.8024	0.76716	0.84583
FAM155A	4	0.30504	1.2146	0.86679	0.97267	0.22452	0.48512
C10orf2	4	-1.0958	-3.2619	5.2323e-05	0.0020243	0.0011065	0.041063
GTPBP3	4	-0.27878	-1.7804	0.069276	0.39265	0.075004	0.47241
ZNF493	4	-0.096364	-0.53323	0.19401	0.62274	0.59388	0.72166
NAT8	4	0.36803	1.6417	0.65618	0.91854	0.10065	0.47241
RBM44	4	-0.44004	-2.1094	0.027836	0.24029	0.034908	0.43015
VAC14	4	-0.38006	-2.0646	0.039033	0.29198	0.03896	0.46034
PRPF19	4	-2.0256	-5.1864	0	0	2.1445e-07	0.00021074
WBP5	4	-0.58556	-2.5862	0.010883	0.13131	0.0097045	0.1806
TLR2	4	-0.76724	-2.9012	0.0029301	0.051996	0.0037179	0.093866
MAP3K13	4	0.24106	0.8626	0.92042	0.98605	0.38835	0.58093
C9orf64	4	0.41524	0.9707	0.5067	0.86583	0.3317	0.54432
SEC61A2	4	-0.01962	-0.087208	0.29154	0.7278	0.93051	0.95674
KLRF2	4	-0.12453	-0.68116	0.16623	0.58379	0.49577	0.6522
FAM133A	4	0.25307	1.1863	0.96248	0.99497	0.23552	0.49016
CD180	4	0.68739	1.2376	0.048556	0.32838	0.21588	0.48302
SCML2	4	0.24192	1.0067	0.92246	0.98651	0.3141	0.53379
ATL1	4	0.11485	0.67765	0.56169	0.88857	0.49799	0.65396
AJUBA	4	0.63946	1.6112	0.080107	0.42049	0.10713	0.47241
DCAF4	4	0.1761	1.5468	0.72734	0.94201	0.12191	0.47241
KDM4D	4	-0.12497	-0.66182	0.16576	0.58289	0.50809	0.66104
SLC1A1	4	0.17143	0.33638	0.71311	0.93819	0.73659	0.82433
RAB41	4	-0.17253	-1.0495	0.12558	0.51624	0.29393	0.5216
PYROXD1	4	-1.2297	-4.0868	0	0	4.3729e-05	0.005392
ZMYND11	3	0.44849	0.66657	0.48582	0.85837	0.50504	0.65855
LRRK2	4	-0.29456	-1.3376	0.063625	0.38036	0.18104	0.47241
YAE1D1	4	-0.91566	-2.4995	0.00078485	0.020107	0.012437	0.21491
CRYGC	4	0.21447	0.65641	0.83654	0.96699	0.51156	0.66347
MEMO1	4	-0.63037	-2.271	0.0079531	0.10526	0.023145	0.32383
IMPACT	4	0.27026	1.6149	0.98163	0.99734	0.10634	0.47241
GOSR2	4	-1.2204	-3.8692	0	0	0.00010921	0.0098451
ADAM32	4	0.24953	0.52636	0.94987	0.99154	0.59864	0.72449
ZFAND1	4	0.3014	1.1333	0.8796	0.97648	0.2571	0.49927
STARD6	4	0.32311	0.85825	0.80714	0.96141	0.39075	0.58243
RPF1	4	-0.97231	-2.7104	0.00031394	0.0092166	0.0067202	0.14358
IFIT2	4	0.17918	1.2145	0.73634	0.94348	0.22457	0.48512
CCDC90B	4	-0.12237	-0.7787	0.16817	0.58778	0.43615	0.61099
FTO	4	-0.29299	-1.1605	0.064567	0.38383	0.24584	0.49302
SLC24A2	4	0.026015	0.16354	0.36574	0.78337	0.8701	0.91796
C4orf51	4	-0.22969	-1.1624	0.090938	0.44553	0.24508	0.49258
DOCK7	4	0.53197	1.1638	0.22284	0.65523	0.24449	0.49253
PTDSS1	4	0.67378	0.63275	0.056247	0.35408	0.5269	0.6744
PI15	4	0.12299	0.46915	0.58309	0.89691	0.63896	0.75484
GMNN	4	-0.36842	-1.2666	0.041754	0.30342	0.20531	0.47976
CDKL4	4	-0.5662	-1.8166	0.012296	0.14347	0.069275	0.47241
FANCI	4	-1.1005	-3.8924	5.2323e-05	0.0020243	9.9266e-05	0.0091651
DTNA	4	0.3817	0.94686	0.61291	0.90456	0.34371	0.55204
CDON	4	0.1872	0.87077	0.75774	0.95043	0.38388	0.57783
EXTL3	4	0.19477	0.68699	0.77914	0.95508	0.49209	0.64937
KPNA2	4	0.077421	0.23088	0.47326	0.85035	0.8174	0.88186
SOX5	4	0.020116	0.050855	0.3559	0.77693	0.95944	0.97505
C5orf34	4	0.55285	1.5095	0.18501	0.61155	0.13116	0.47241
RUSC1-AS1	4	0.29457	1.6416	0.90247	0.98156	0.10067	0.47241
ZWILCH	4	-0.2377	-1.0941	0.087013	0.43798	0.2739	0.50994
TXNL1	4	-0.34232	-1.6237	0.047928	0.32656	0.10443	0.47241
F2R	4	0.25506	0.91818	0.96944	0.99501	0.35853	0.56193
CSTA	4	0.64913	0.94566	0.072468	0.40185	0.34432	0.55232
GAD2	4	0.60939	1.1609	0.1093	0.48234	0.24569	0.49283
ZNF614	4	-0.36832	-1.6166	0.041806	0.30357	0.10598	0.47241
CKMT2	4	-0.18782	-1.0645	0.11474	0.49336	0.28709	0.51738
PEX13	4	0.23379	0.85789	0.89781	0.98044	0.39095	0.58247
C10orf35	4	0.32227	1.403	0.81106	0.96226	0.16063	0.47241
CHRM3	4	0.39189	1.5259	0.58094	0.8966	0.12704	0.47241
AASDH	4	0.38929	1.1834	0.58832	0.89715	0.23666	0.49027
C11orf49	4	0.37735	1.3581	0.62542	0.90963	0.17444	0.47241
RBM12	4	-0.24888	-1.3386	0.081362	0.42359	0.1807	0.47241
MAGI3	4	0.53474	0.86664	0.21782	0.65003	0.38614	0.57935
TMEM144	4	-0.35183	-1.8713	0.045783	0.31993	0.061309	0.47241
GPR171	4	-0.41272	-1.9321	0.033225	0.26884	0.053349	0.47241
PECAM1	4	0.15641	0.79229	0.67047	0.92307	0.42819	0.60556
TNFSF8	4	0.32901	0.67367	0.78694	0.9562	0.50052	0.65574
MIER1	4	-0.11291	-0.80843	0.17738	0.6016	0.41885	0.59974
MUC13	4	-0.12934	-0.72122	0.16163	0.57717	0.47077	0.63382
FEZ1	4	-0.41486	-2.434	0.032807	0.26704	0.014932	0.24247
VANGL1	4	0.77248	0.70962	0.01983	0.192	0.47794	0.63908
PYGL	4	0.43109	0.93035	0.4605	0.84301	0.35219	0.55776
SDR16C5	4	0.36307	1.4182	0.67225	0.92344	0.15614	0.47241
RND3	4	0.49663	1.7933	0.29406	0.7293	0.072918	0.47241
PKIA	4	0.19054	1.0589	0.76701	0.95194	0.28964	0.51889
UBE2G2	4	-0.1693	-0.61265	0.12845	0.52232	0.54011	0.68361
ZNF558	4	0.33012	1.4586	0.78417	0.95593	0.14468	0.47241
IL13RA1	4	0.1957	0.57773	0.78103	0.95508	0.56345	0.69949
CWH43	4	0.3956	1.8138	0.56818	0.88998	0.06971	0.47241
MGAT4D	4	0.16889	0.82045	0.70553	0.93472	0.41196	0.5953
DBF4B	4	0.14723	0.58564	0.64572	0.91644	0.55812	0.69578
TMEM241	4	0.38874	1.4521	0.58947	0.89715	0.14647	0.47241
LACTB	3	0.19786	0.86991	0.79228	0.95745	0.38435	0.57824
STAB2	4	0.24838	1.1885	0.94616	0.99038	0.23462	0.48973
AZIN2	4	0.2495	1.1817	0.94987	0.99154	0.23733	0.49027
MYH4	4	0.36285	1.6222	0.67261	0.92344	0.10476	0.47241
DYNC1H1	4	-1.0443	-3.139	0.00010465	0.0037037	0.0016951	0.054646
SGCG	4	-0.066429	-0.25925	0.22698	0.66007	0.79544	0.866
CUEDC2	4	0.19046	0.53619	0.76685	0.95194	0.59182	0.72017
DNAJC7	4	0.12025	0.29606	0.5755	0.89336	0.76719	0.84583
TMEM99	4	-0.14838	-0.62324	0.14499	0.55189	0.53313	0.67865
IQCH	4	-0.12637	-0.59883	0.16461	0.58186	0.54928	0.68979
TFB1M	4	-0.3013	-1.3535	0.060643	0.36899	0.17591	0.47241
DEFB128	4	0.14866	0.4375	0.64943	0.91667	0.66175	0.77118
SKIL	4	-0.068956	-0.1494	0.22426	0.65736	0.88124	0.92516
RWDD3	4	0.21477	1.0939	0.83759	0.96743	0.27401	0.50994
EQTN	4	0.16682	0.79907	0.69967	0.93178	0.42425	0.60325
SH3TC1	4	0.31771	1.6154	0.82514	0.96408	0.10622	0.47241
OSBPL2	4	-0.084465	-0.77121	0.20553	0.6357	0.44058	0.61324
DPYS	4	0.19094	0.6621	0.76821	0.95257	0.50791	0.66103
ARFIP1	4	0.49474	1.5705	0.29866	0.73281	0.1163	0.47241
SSB	4	-0.26255	-1.6235	0.076026	0.41143	0.10449	0.47241
FBXO32	4	-0.38785	-2.2151	0.03762	0.28691	0.02675	0.35553
TNMD	4	0.32294	1.358	0.80776	0.96141	0.17447	0.47241
KCNA2	4	0.49034	1.0124	0.30839	0.74157	0.31133	0.53189
MCPH1	4	0.059452	0.41577	0.43386	0.82845	0.67758	0.78324
TM2D1	4	-0.13462	-0.45185	0.15681	0.5688	0.65138	0.76381
ATP11C	4	0.30487	0.62943	0.86736	0.97267	0.52907	0.67603
OR11H4	4	0.34612	1.6134	0.72928	0.94201	0.10666	0.47241
HNRNPH1	4	-0.65553	-1.3158	0.0068543	0.0959	0.18825	0.47374
CPM	4	0.25866	1.3323	0.98132	0.99734	0.18275	0.47241
EVL	4	-0.25345	-1.508	0.079845	0.42049	0.13155	0.47241
MCCD1	4	-0.026225	-0.1982	0.28155	0.71789	0.84289	0.90022
RAD1	4	-0.76519	-3.221	0.0029824	0.052055	0.0012775	0.045132
SLC37A3	4	0.17477	0.73689	0.72326	0.94092	0.46119	0.62739
ADGRF4	4	-0.12627	-0.39704	0.16477	0.58186	0.69134	0.79242
AIM1	4	0.54469	1.6142	0.20035	0.62966	0.10649	0.47241
TYW3	4	-0.23786	-1.3661	0.086961	0.43794	0.17191	0.47241
PLBD1	4	0.19572	1.1327	0.78103	0.95508	0.25732	0.49928
DMD	4	0.33445	1.1027	0.77051	0.95328	0.27015	0.50773
NKRF	4	0.11609	0.47703	0.56499	0.88946	0.63334	0.75029
PTCH1	4	-0.35741	-1.6626	0.044475	0.3147	0.096397	0.47241
FAM84B	4	0.74537	1.5902	0.026476	0.23222	0.1118	0.47241
PROL1	4	0.51927	1.6289	0.24733	0.68401	0.10333	0.47241
CDC40	4	-1.1215	-3.1318	0	0	0.0017373	0.05543
ARHGAP35	4	0.11424	0.58817	0.56033	0.88857	0.55642	0.69468
UNC5C	4	0.040693	0.12498	0.3942	0.8056	0.90054	0.93803
ERCC5	4	0.2847	0.89919	0.9369	0.98983	0.36855	0.5675
GCNT2	4	0.43059	0.80933	0.46139	0.8436	0.41833	0.59959
RSL1D1	4	-0.61031	-2.0985	0.0090519	0.11518	0.035862	0.43656
HIGD1C	4	-0.30351	-1.431	0.05991	0.36628	0.15243	0.47241
BCAT2	4	-0.0067561	-0.037723	0.31122	0.7435	0.96991	0.98193
SLC16A6	4	-0.030921	-0.19378	0.2747	0.7108	0.84635	0.90217
ZNF195	4	0.28444	0.95663	0.93742	0.98983	0.33875	0.54951
SLC10A5	4	-0.38245	-1.5352	0.038667	0.29054	0.12475	0.47241
ADSL	4	-0.77391	-2.9185	0.0027731	0.05	0.0035171	0.09059
ZNF639	4	0.70479	0.65514	0.041126	0.30103	0.51238	0.66436
GNAL	4	0.18126	0.4143	0.74152	0.94486	0.67865	0.78418
ANK2	4	0.053276	0.29026	0.42057	0.8206	0.77162	0.84876
CASC1	4	0.13631	0.75815	0.61757	0.90653	0.44836	0.61852
PTPN11	4	-0.88687	-1.9813	0.00099414	0.023143	0.047561	0.47241
KLHL23	4	-0.068689	-0.3551	0.22468	0.65798	0.72252	0.81475
AP2M1	4	-0.20425	-1.0113	0.10475	0.47443	0.31189	0.53221
EPPIN	4	-0.1943	-0.88502	0.11056	0.48552	0.37615	0.57273
CLRN3	4	-0.061133	-0.367	0.23315	0.66867	0.71362	0.80831
RPS6KL1	4	0.24089	1.047	0.91995	0.98598	0.29512	0.52257
NOC3L	4	0.06836	0.28674	0.45485	0.84047	0.77431	0.85079
OR5AC2	4	0.18019	1.2408	0.73886	0.94423	0.21467	0.48282
HAUS6	4	-0.62583	-2.2451	0.0080578	0.10599	0.02476	0.33624
ABCA8	4	0.17954	0.91587	0.73713	0.94373	0.35973	0.56268
RGPD6	4	-0.45779	-1.7998	0.02454	0.22291	0.071887	0.47241
GHR	4	0.5453	1.276	0.19925	0.62838	0.20195	0.47898
RGPD4	4	0.018667	0.096328	0.3537	0.77526	0.92326	0.9522
RGPD5	4	-0.68355	-2.9947	0.0057032	0.08417	0.0027474	0.076957
LCA5L	4	-0.74463	-2.8041	0.0035057	0.058772	0.0050453	0.11632
SPANXN2	4	-0.58603	-2.3084	0.010779	0.13038	0.020979	0.30311
SLC13A3	4	0.17577	0.99513	0.72614	0.94201	0.31967	0.53697
HNRNPC	4	-1.7515	-4.3086	0	0	1.6431e-05	0.0029626
MMP12	4	-0.03574	-0.18366	0.26721	0.70277	0.85428	0.90736
ACSBG2	4	0.20781	1.5818	0.81624	0.96273	0.1137	0.47241
GLS	4	0.22368	1.079	0.86448	0.97267	0.28061	0.5134
FAM150A	4	0.3547	1.4161	0.69977	0.93179	0.15676	0.47241
ATP7A	4	-0.27369	-1.2164	0.071159	0.39778	0.22382	0.48512
TFRC	4	0.08573	0.42349	0.4922	0.86003	0.67194	0.77859
FABP12	4	0.16727	0.68063	0.70092	0.93209	0.4961	0.65237
POLN	4	-0.22638	-1.112	0.092821	0.45014	0.26612	0.50541
UNC119B	4	0.31486	1.2224	0.83492	0.96698	0.22156	0.48422
ATP5A1	4	-0.527	-1.9917	0.015592	0.16583	0.046399	0.47241
C19orf66	4	0.30064	0.88406	0.88248	0.97723	0.37666	0.57327
PHOSPHO2	4	0.23188	0.92066	0.89169	0.97903	0.35723	0.56141
HDHD2	4	0.23979	0.60013	0.91675	0.98595	0.54842	0.68912
NADK	4	-0.31143	-1.3968	0.057189	0.3574	0.16246	0.47241
RNF219	4	0.40019	1.3075	0.55504	0.88666	0.19104	0.47571
RPS7	4	-0.95967	-3.3086	0.00047091	0.013216	0.00093777	0.037106
KRT6C	4	0.36006	1.03	0.68203	0.92511	0.30299	0.52705
MTRNR2L10	4	-0.29119	-0.77907	0.065299	0.38554	0.43594	0.61099
MTRNR2L8	4	0.017614	0.098079	0.35198	0.7742	0.92187	0.95124
ZNF268	4	-0.51851	-2.5873	0.016429	0.1711	0.0096745	0.18021
ZNF155	4	-0.18359	-0.9527	0.11757	0.49922	0.34074	0.55084
ENTPD1	4	0.14117	0.58532	0.62955	0.91124	0.55833	0.69592
FAM91A1	4	-0.14634	-0.37066	0.14692	0.55536	0.71089	0.80657
FNDC8	4	0.28598	1.2274	0.93282	0.98891	0.21967	0.48329
NKX2-3	4	0.45057	1.3971	0.4065	0.81088	0.16237	0.47241
FAM71D	4	0.24457	1.45	0.93161	0.98891	0.14705	0.47241
AAMDC	4	0.32887	1.5326	0.78757	0.95635	0.12537	0.47241
U2SURP	4	-1.1848	-3.7215	0	0	0.00019807	0.014869
GRID2	4	0.55	1.872	0.19046	0.61915	0.061206	0.47241
DDRGK1	4	0.47956	1.124	0.33361	0.7589	0.26101	0.50127
DCUN1D4	4	-0.21814	-0.55509	0.09685	0.4576	0.57883	0.71019
NLGN4X	4	0.49018	0.9335	0.30871	0.74174	0.35056	0.55651
YES1	4	-0.2006	-1.1649	0.10653	0.47659	0.24405	0.49243
MTTP	4	0.24972	0.82621	0.95019	0.99154	0.40869	0.59344
ZNF780A	4	0.019191	0.1424	0.35444	0.77568	0.88676	0.92895
TRMT5	4	-1.035	-3.4841	0.00015697	0.0051282	0.00049381	0.025034
FAM150B	4	0.42967	1.6683	0.464	0.84439	0.095257	0.47241
AP1AR	4	0.42731	0.92915	0.47101	0.84863	0.35281	0.55838
RBM39	4	-0.50231	-1.8026	0.018208	0.18335	0.071453	0.47241
ADH4	4	-0.66818	-2.6462	0.0063311	0.090977	0.0081407	0.16056
MATR3	4	-0.48151	-1.5027	0.021139	0.2013	0.13292	0.47241
SGTB	4	0.31488	1.0311	0.83492	0.96698	0.30251	0.527
MRPL42	4	-0.22691	-0.89557	0.092664	0.45006	0.37048	0.56855
ZNF630	4	-0.20286	-1.0855	0.10527	0.47453	0.27771	0.51128
RERG	4	0.78642	1.2134	0.016325	0.1704	0.22497	0.48512
CADPS	4	0.53877	1.6642	0.21065	0.64252	0.096072	0.47241
C8orf48	4	0.028005	0.13866	0.36951	0.7865	0.88972	0.93068
EEF1G	4	-1.1032	-3.7187	5.2323e-05	0.0020243	0.00020022	0.01489
SCIN	4	0.73746	1.4027	0.028987	0.24666	0.16069	0.47241
C4orf32	4	-0.11236	-0.40853	0.178	0.60266	0.68288	0.78687
OR5D14	4	-0.46831	-2.2447	0.02297	0.21373	0.024789	0.33624
DNAJC4	4	0.20772	1.268	0.81582	0.96273	0.20479	0.47976
RPL35A	4	-1.344	-4.2124	0	0	2.5263e-05	0.0037869
HID1	4	0.13026	0.51053	0.60145	0.90136	0.60968	0.73274
CUL9	4	0.36536	1.6524	0.66487	0.9208	0.098452	0.47241
RNF7	4	0.27324	0.5968	0.97185	0.99539	0.55064	0.69072
VAMP7	4	-0.059006	-0.31204	0.23561	0.67019	0.75501	0.83753
RPL34	4	-1.6229	-3.3025	0	0	0.00095814	0.037525
POLR2J3	4	0.15248	0.5973	0.65995	0.91905	0.55031	0.69053
CSF1	4	0.057412	0.27911	0.42942	0.82549	0.78016	0.8552
INSL4	4	0.65192	1.4653	0.070113	0.39551	0.14285	0.47241
ERLIN2	4	0.18772	0.77717	0.75889	0.95058	0.43706	0.61137
CREB3	4	0.14526	0.81459	0.64117	0.91537	0.41531	0.59771
GLRB	4	0.54907	1.2274	0.19182	0.62068	0.21968	0.48329
CCDC148	4	-0.24196	-1.3596	0.084816	0.43331	0.17394	0.47241
PATE1	4	0.30653	1.5336	0.86239	0.97234	0.12513	0.47241
FLRT1	4	0.15923	0.79552	0.67785	0.92463	0.42631	0.6042
MCM10	4	-0.84215	-3.2164	0.001622	0.034141	0.0012983	0.045551
42248	4	0.19696	1.0088	0.78391	0.95593	0.31308	0.53316
TBX1	4	0.35526	1.3456	0.69778	0.93119	0.17842	0.47241
GOLGA7	4	-0.16016	-1.0295	0.13573	0.53529	0.30326	0.52729
GTF3C4	4	-0.60228	-2.8321	0.0096275	0.1205	0.004624	0.10964
COL6A1	4	0.12899	0.32952	0.59832	0.90029	0.74177	0.82822
PODN	4	0.32029	1.2775	0.81671	0.96273	0.20142	0.47863
KLRC1	4	-0.16538	-0.81676	0.13212	0.52945	0.41406	0.59689
DNAJC13	4	-0.23474	-1.463	0.088845	0.44219	0.14348	0.47241
HMMR	4	-0.45729	-1.8474	0.02454	0.22291	0.064696	0.47241
KIF14	4	-0.64731	-2.6171	0.0072206	0.098712	0.0088677	0.16931
SERBP1	4	-0.56579	-1.7459	0.012348	0.14373	0.080832	0.47241
NKX3-2	4	0.68113	1.3214	0.052062	0.34146	0.18637	0.47331
ASIP	4	-0.37215	-0.99439	0.04076	0.29893	0.32003	0.53719
GAB4	4	0.04211	0.25094	0.39713	0.80667	0.80186	0.8707
STARD8	4	0.25528	0.74177	0.96976	0.99501	0.45823	0.62591
ZC3H14	4	-0.19091	-1.1167	0.11276	0.48993	0.26411	0.50367
CCER2	4	0.23517	0.90641	0.90257	0.98162	0.36472	0.56528
GTPBP1	4	0.31065	0.97701	0.848	0.96935	0.32857	0.54244
SNRNP48	4	-0.90843	-2.6934	0.00083717	0.020592	0.0070735	0.14791
C8orf74	4	-0.12528	-0.96045	0.16555	0.58258	0.33683	0.54772
SLC39A13	4	0.20615	0.91191	0.81153	0.96226	0.36182	0.56366
GIMAP1	4	0.50693	1.6366	0.27145	0.70758	0.10171	0.47241
VEZF1	4	0.12696	0.62631	0.5934	0.89873	0.53111	0.67733
POLA2	4	-1.0904	-3.5664	5.2323e-05	0.0020243	0.00036197	0.020804
CASC3	4	0.15241	0.91226	0.65969	0.91895	0.36163	0.56353
36951	8	0.43612	1.2432	0.26842	0.70486	0.21379	0.48273
FRMD3	4	0.37884	1.4413	0.62144	0.90759	0.14951	0.47241
PLOD2	4	-0.11422	-0.70972	0.17622	0.60053	0.47788	0.63908
GXYLT1	4	0.10099	0.53168	0.52742	0.87508	0.59495	0.72238
CHMP2B	4	0.42515	1.0639	0.47787	0.8538	0.28738	0.51738
DOCK4	4	0.10092	0.61006	0.52726	0.87508	0.54182	0.68452
RAD52	4	0.091181	0.29502	0.50366	0.86479	0.76798	0.84644
ANKRD10	4	0.27773	1.125	0.95804	0.99387	0.26058	0.50107
